year,gdp_growth,inflation,oil_price_avg,population_millions,unemployment_rate,gdp_per_capita_growth
2015,3.7,4.8,52,39.7,11.2,2.2
2016,3.2,6.4,43,40.6,10.5,1.7000000000000002
2017,1.4,5.6,54,41.4,11.7,-0.10000000000000009
2018,1.2,4.3,71,42.2,11.7,-0.30000000000000004
2019,0.8,2.0,64,43.0,11.4,-0.7
2020,-4.9,2.4,41,43.8,12.5,-6.4
2021,3.4,7.2,70,44.6,12.0,1.9
2022,3.2,9.3,99,45.4,11.5,1.7000000000000002
2023,4.1,9.3,82,46.2,11.0,2.5999999999999996
2024,3.8,7.5,80,47.0,10.8,2.3
2025,3.0,5.0,75,47.8,10.5,1.5
2026,2.9,3.9,72,48.6,10.2,1.4
